,ContractId,ContractDate,MLBAMID,playerId,playerName,playerNameRoute,servicetime,servicetimeFallback,ContractSummaryPayrollNote,ContractTypeId,ContractType,isEstimate,hasClubOption,hasMutualOption,hasVestingOption,hasFreeAgent,hasTBD,hasArbYearOverride,hasArbYearOverrideFuture,age,YearsTotal,ContractTotal,AAV,startSeason,endSeason,endSeasonAll,payrollType,isFutureContract
0,490,,545361,10155,Mike Trout,Mike Trout,11.070,10.070,,3,Extension,,0,0,0,0,0,-1,-1,31.9,12.0,426500000.0,35541666.66666667,2019,2030,2030,gauranteed,0
1,2,2009-12-11T00:00:00,543685,12861,Anthony Rendon,Anthony Rendon,9.130,8.130,,2,Free Agent,,0,0,0,0,0,-1,-1,33.1,7.0,245000000.0,35000000.0,2020,2026,2026,gauranteed,0
2,2616,2022-10-01T00:00:00,660271,19755,Shohei Ohtani,Shohei Ohtani,5.000,4.000,,3,Extension,,0,0,0,0,0,-1,-1,29.0,1.0,30000000.0,30000000.0,2023,2023,2023,gauranteed,0
3,3080,2022-11-15T00:00:00,542881,12880,Tyler Anderson,Tyler Anderson,7.065,6.065,,2,Free Agent,,0,0,0,0,0,-1,-1,33.5,3.0,39000000.0,13000000.0,2023,2025,2025,gauranteed,0
4,2798,,592669,15464,Hunter Renfroe,Hunter Renfroe,5.165,4.165,,1,Arbitration,,0,0,0,0,0,-1,-1,31.4,1.0,11900000.0,11900000.0,2023,2023,2023,arbeligible,0
5,2299,2021-11-26T00:00:00,500871,6153,Eduardo Escobar,Eduardo Escobar,10.128,9.128,,2,Free Agent,,1,0,0,0,0,-1,-1,34.5,2.0,20000000.0,10000000.0,2022,2023,2024,gauranteed,0
6,2293,2021-11-22T00:00:00,571901,10343,Aaron Loup,Aaron Loup,10.040,9.040,,2,Free Agent,,1,0,0,0,0,-1,-1,35.5,2.0,17000000.0,8500000.0,2022,2023,2024,gauranteed,0
7,3175,2022-12-20T00:00:00,592273,11615,Brandon Drury,Brandon Drury,6.001,5.001,,2,Free Agent,,0,0,0,0,0,-1,-1,30.9,2.0,17000000.0,8500000.0,2023,2024,2024,gauranteed,0
8,2816,,570482,10681,Gio Urshela,Gio Urshela,5.127,4.127,,1,Arbitration,,0,0,0,0,0,-1,-1,31.7,1.0,8400000.0,8400000.0,2023,2023,2023,arbeligible,0
9,3368,2023-02-16T00:00:00,519043,1890,Matt Moore,Matt Moore,10.000,9.000,,2,Free Agent,,0,0,0,0,0,-1,-1,34.1,1.0,7550000.0,7550000.0,2023,2023,2023,gauranteed,0
10,2461,2022-03-17T00:00:00,572193,10291,Ryan Tepera,Ryan Tepera,7.008,6.008,,2,Free Agent,,0,0,0,1,0,-1,-1,35.7,2.0,14000000.0,7000000.0,2022,2023,2023,not40man,0
11,3105,2022-12-05T00:00:00,608032,14542,Carlos Estévez,Carlos Estevez,6.022,5.022,,2,Free Agent,,0,0,0,0,0,-1,-1,30.5,2.0,13500000.0,6750000.0,2023,2024,2024,gauranteed,0
12,2121,,545358,10059,Max Stassi,Max Stassi,6.049,5.049,,3,Extension,,1,0,0,0,0,-1,-1,32.3,3.0,17500000.0,5833333.33333333,2022,2024,2025,gauranteed,0
